Feature_Type_Code,Feature_Type,color
AA,"Crater, craters",#186675
AL,Albedo Feature,#CBC908
CA,"Catena, catenae",#1EA577
CB,"Cavus, cavi",#BDFB59
CH,"Chaos, chaoses",#B61A39
CM,"Chasma, chasmata",#85319E
CO,"Collis, colles",#5A695C
DO,"Dorsum, dorsa",#9F5D51
FL,"Fluctus, fluctūs",#5935DF
FO,"Fossa, fossae",#3E04CC
LA,"Labes, labēs",#2C9EB2
LB,"Labyrinthus, labyrinthi",#A79D15
LN,"Lingula, lingulae",#C6E1B6
MN,"Mensa, mensae",#FAA4AB
MO,"Mons, montes",#EE6F7C
PA,"Palus, paludes",#E9C653
PE,"Patera, paterae",#10D057
PL,"Planitia, planitiae",#B15573
PM,"Planum, plana",#1DF722
RU,"Rupes, rupēs",#FA21C8
SC,"Scopulus, scopuli",#F560F4
SE,"Serpens, serpentes",#162C43
SU,"Sulcus, sulci",#A0CB3A
TA,"Terra, terrae",#05D60F
TH,"Tholus, tholi",#8686B9
UN,"Unda, undae",#C37E20
VA,"Vallis, valles",#00260F
VS,"Vastitas, vastitates",#841BB7
